Contract Number,Description,Start Date,End Date,Vendor Name,Total Amount,Amount Spent,Procurement Method,Trade Type,Category,Location,Contract Status
1514958,SMD-FURNISHING VARIOUS ELEVATOR ITEMS,5/25/2015,5/24/2018,EQUIPTEX INDUSTRIAL CORP.,"$126,533.30","$76,611.30",SMALL PURCHASE,Materials,ELECTRICAL.ELECTRICAL SUPPLIES,VARIOUS PROPERTIES OR DEPARTMENTS,Expired
1427497,UPGRADE OF PLAY AREAS,5/22/2015,9/3/2016,BRIGHTON BUILDER LLC,"$221,000.00","$221,000.00",SEALED BID,Decar,GD-GROUNDS AND GROUNDS MAINTENANCE.1CM,SEWARD PARK EXT-0312,Expired
1507504,RECYCLING BINS**NYS CONTRACT PC64733**,5/21/2015,4/30/2018,JAMESTOWN ADVANCED PRODUCTS CORPORATION,"$1,502,725.00","$1,242,005.24",GOV_TO_GOV,Materials,"JANITORIAL SUPPLIES.CONTAINERS, METAL",VARIOUS PROJECTS-0976,Expired
1514239,Red Hook East- OSHA 10 Training (Resident Engagement_RESIDE033048) TP 15223,5/20/2015,9/30/2015,BRENSHIRER CONSULTANTS AND CONTRACTORS,"$4,800.00",$0.00,SMALL PURCHASE,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,RED HOOK EAST-0202,Expired
1514610,SMD-FURNISHING ELECTRICAL HOT PLATES.,5/20/2015,5/19/2018,W.W. GRAINGER INC.,"$409,350.00","$97,097.82",GOVERMENT LIST,Materials,ELECTRICAL.ELECTRICAL SUPPLIES - MISCELLANEOUS,L.I.C.-WHSE -LICW,Expired
1514728,"Jefferson Houses, Manhattan - Installation of Vinyl Floor Tile in Apartments - (TECHNI030121 - N. Bose)",5/20/2015,6/6/2017,KRISHNA CONTRACTING INCORPORATED,"$116,180.31","$110,298.29",SEALED BID,Service,TL-TILE.1CM,JEFFERSON HOUSE-0219,Expired
1506470,"Various Manhattan South Developements - Inspection, Testing, Repair, Alteration & Installation of Range Hood Fire Suppression Systems (TECHNI028809 - N. Scheff)",5/20/2015,8/30/2018,CHIEF FIRE PREVENTION & MECHANICAL CORP,"$268,625.00","$42,262.50",SEALED BID,Service,FR-FIRE ALARM INSTALL/INSPECT/REPAIR.1CM,MANHATTAN PROPERTY MANAGEMENT,Expired
1506473,"Various Queens & Staten Island Developements - Inspection, Testing, Repair, Alteration & Installation of Range Hood Fire Suppression Systems - (TECHNI028811 - N. Scheff)",5/20/2015,8/30/2018,CHIEF FIRE PREVENTION & MECHANICAL CORP,"$266,345.00","$40,145.00",SEALED BID,Service,FR-FIRE ALARM INSTALL/INSPECT/REPAIR.1CM,QN/SI PROPERTY MANAGEMENT,Expired
1515345,Various CC - Program Assistant (COMMUN033246),5/18/2015,12/31/2015,TORRAY GLOVER,"$5,000.00","$1,285.00",SMALL PURCHASE,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,VARIOUS PROJECT-VARP,Expired
1513996,Mepco Heating Supplies,5/18/2015,5/18/2018,G.S. DUNHAM LLC,"$763,175.00","$420,638.95",SEALED BID,Materials,"PLUMBING AND HEATING.THERMOSTAT, RADIATOR PARTS",VARIOUS PROPERTIES & DEPARTMENTS,Expired
1506542,Queensbridge RA - Performing Arts Program (RESIDE031053),5/18/2015,9/30/2015,"SHARE FOR LIFE FOUNDATION, INC.","$4,800.00","$4,800.00",SMALL PURCHASE,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,QUEENSBRIDGE CC-C398,Expired
1515809,Bronx North RA - Workshop on Fathers and Domestic Violence (RESIDE033232) TP15204,5/15/2015,7/30/2015,"RIVERA, SIERRA & COMPANY, INC.","$4,900.00","$4,900.00",SMALL PURCHASE,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,COMM OPER ADMIN-0123,Expired
1513629,"SMD-FURNISHING 24"" GAS RANGES",5/15/2015,5/14/2016,P.C. RICHARD & SON LONG ISLAND CORPORATION,"$320,200.00","$93,432.00",SEALED BID,Materials,APPLIANCES.RANGE - GAS,VARIOUS PROPERTIES OR DEPARTMENTS,Expired
1514145,"Ravenswood Houses, Queens - Installation of Vinyl Floor Tiles in Apartments - (TECHNI31173 - N. Bose)",5/15/2015,7/1/2016,METROCITY RENOVATION INC,"$128,873.42","$126,681.06",SEALED BID,Service,TL-TILE.1CM,RAVENSWOOD-0369,Expired
1514146,Various Bronx Developments - Service of Electro-Magnetic Locks - (TECHNI030828 - K. Davis) (PROPER045875 - J. Romo-Leroux),5/15/2015,4/22/2018,"EIA DATACOM, INC.","$466,320.00","$340,539.54",SEALED BID,Service,EL-ELECTRICAL.1CM,VARIOUS PROJECT-VARP,Expired
1514148,Various Brooklyn Developments - Service of Electro-Magnetic Locks - (TECHNI030826 - K. Davis) (PROPER045873 - J. Romo-Leroux),5/15/2015,4/22/2018,"EIA DATACOM, INC.","$466,320.00","$394,185.01",SEALED BID,Service,EL-ELECTRICAL.1CM,VARIOUS PROJECT-VARP,Expired
1515474,Cypress RA - Health and Fitness Classes for Adults (RESIDE033137) TP15153,5/15/2015,12/31/2015,"TEA JUNKIE, LLC","$20,800.00","$17,600.00",SMALL PURCHASE,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,CYPRESS HILL-0536,Expired
1514007,"Albany I & II & Weeksville Gardens, Brooklyn - Installation of Vinyl Floor Tile in Apartments - (TECHNI030073 - N. Bose)",5/14/2015,11/13/2017,KRISHNA CONTRACTING INCORPORATED,"$56,890.95","$48,317.25",SEALED BID,Service,TL-TILE.1CM,BROOKLYN PROPERTY MANAGEMENT,Expired
1513738,"East River, Wilson & White Houses, Manhattan - Installation of Vinyl Floor Tile in Apartments - (TECHNI030369 - N. Bose)",5/12/2015,3/6/2016,MAHI PAINTING INC.,"$107,520.65","$60,509.12",SEALED BID,Service,TL-TILE.1CM,VARIOUS PROJECT-VARP,Expired
1513741,"Amsterdam, Amsterdam Addition & Harborview Terrace, Mixed Finance - Installation of Vinyl Floor Tile in Apartments - (TECHNI030366 - N. Bose)",5/12/2015,9/20/2016,MAHI PAINTING INC.,"$126,245.05","$56,763.36",SEALED BID,Service,TL-TILE.1CM,VARIOUS PROJECT-VARP,Expired
1513742,"Various Developments - Inspection, Service & Maintenance of 13 60KW Generators - (EMERGE030754 - S. Saccacio) (EMERGE047921 - G. Santiago)",5/12/2015,10/18/2018,NATIONAL GRID ENERGY MANAGEMENT,"$367,830.00","$356,675.00",SEALED BID,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,CITYWIDE DEVELOPMENTS,Expired
1513733,"Lafayette Gardens, Brooklyn - Maintenance Painting of Apartments - (TECHNI027323 - N. Bose)",5/12/2015,1/25/2016,ADEL-FIA CONTRACTING CORP.,"$82,258.00",$0.00,SEALED BID,Service,PD-PAINTING.1CM,LAFAYETTE GARDE-0247,Expired
1513734,"Lincoln Houses, Manhattan - Installation of Vinyl Floor Tile in Apartments - (TECHNI030099 - N. Bose)",5/12/2015,6/10/2017,KRISHNA CONTRACTING INCORPORATED,"$115,886.63","$95,471.31",SEALED BID,Service,TL-TILE.1CM,ABRAHAM LINCOLN-0513,Expired
1513799,SMD-FURNISHING SMOKE DETECTORS,5/12/2015,5/11/2018,DJ DIRECT GROUP INC DBA ABABOO GIFTS,"$448,535.18","$443,232.83",SEALED BID,Materials,ELECTRICAL.ELECTRICAL SUPPLIES - MISCELLANEOUS,VARIOUS PROPERTIES OR DEPARTMENTS,Expired
1435815,Facade Restoration / Roof Replacement at Queensbridge North,5/11/2015,11/21/2017,ADAMS EUROPEAN CONTRACTING INC.,"$44,573,181.97","$41,596,879.91",SEALED BID,Decar,RF-ROOF.1CM,QNS BRDG NO -0398,Expired
1435814,Facade Restoration / Roof Replacement at Queensbridge South,5/11/2015,12/6/2017,ADAMS EUROPEAN CONTRACTING INC.,"$46,095,329.83","$46,095,329.83",SEALED BID,Decar,RF-ROOF.1CM,QNS BRDG SO -0843,Expired
1515343,Various CC - Program Assistant (COMMUN033247),5/11/2015,12/31/2015,BRIDGETTE BETHEA,"$8,000.00","$1,480.00",SMALL PURCHASE,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,VARIOUS PROJECT-VARP,Expired
1513395,"RANGE, GAS, 20""",5/11/2015,5/10/2017,P.C. RICHARD & SON LONG ISLAND CORPORATION,"$211,250.00","$210,600.00",SEALED BID,Materials,APPLIANCES.RANGE - GAS,VARIOUS PROPERTIES OR DEPARTMENTS,Expired
1510577,SMD_CYLINDERS AND CAMS,5/8/2015,11/7/2018,"WEILGUS & SONS, INC.","$285,621.98","$284,594.48",SEALED BID,Materials,HARDWARE.HARDWARE - DOOR,VARIOUS PROPERTIES OR DEPARTMENTS,Expired
1513423,"Sumner Houses, Brooklyn - Installation of Vinyl Floor Tile in Apartments - (TECHNI30080 - N. Bose)",5/8/2015,5/19/2016,KRISHNA CONTRACTING INCORPORATED,"$48,263.02","$43,626.40",SEALED BID,Service,TL-TILE.1CM,SUMNER-0538,Expired
1507415,SMD-ELEVATOR PARTS--CLADDAGH.,5/8/2015,5/7/2018,CLADDAGH ELECTRONICS LTD,"$388,104.00","$14,892.00",SEALED BID,Materials,ELEVATOR PARTS.CLADDAGH,VARIOUS PROPERTIES & DEPARTMENTS,Expired
1513422,"Baisley Park & Conlon LIHFE Towers, Queens - Installation of Vinyl Floor Tile in Apartments - (TECHNI031177 - N. Bose)",5/8/2015,11/20/2016,METROCITY RENOVATION INC,"$64,969.82","$33,091.27",SEALED BID,Service,TL-TILE.1CM,VARIOUS PROJECT-VARP,Expired
1512767,"FIXTURE,",5/7/2015,5/6/2018,AMSTERDAM FIXTURE CORP.,"$401,418.90","$36,369.65",SEALED BID,Materials,ELECTRICAL.FIXTURES INDOORS,VARIOUS PROPERTIES OR DEPARTMENTS,Expired
1512954,"Ft. Independence St.-Heath Ave. & Bailey Ave-W 193rd Street, Bronx - Maintenance Painting of Apartments - (TECHNI027319 - N. Bose)",5/5/2015,3/31/2018,ADEL-FIA CONTRACTING CORP.,"$369,155.00","$140,521.01",SEALED BID,Service,PD-PAINTING.1CM,FT INDEPENDENCE-0308,Expired
1509570,SMD-FURNISHING 17.5 CU FT. REFRIGERATORS,5/4/2015,5/3/2018,STAR CREATIONS INC. D/B/A AJ MADISON,"$217,596.00","$174,913.77",SEALED BID,Materials,APPLIANCES.REFRIGERATOR - ELECTRIC,VARIOUS PROPERTIES OR DEPARTMENTS,Expired
1509866,SMA-FURNISHING GAS RANGE PARTS,5/4/2015,5/3/2018,"PDQ SUPPLY, INC.","$484,622.50","$484,592.81",SEALED BID,Materials,APPLIANCES.RANGE - GAS PARTS AND ELECTRIC PARTS,VARIOUS PROPERTIES OR DEPARTMENTS,Expired
1509623,SMD-FURNISHING GRASS SEED & TOPSOIL,5/4/2015,5/3/2016,BISSETT NURSERY CORP.,"$19,910.00","$15,679.50",SEALED BID,Materials,GROUNDS MAINTENANCE.SEED GRASS,VARIOUS PROPERTIES OR DEPARTMENTS,Expired
1514434,TP 15186 - St. Nicholas RA - Workshops for Teen Music Program (RESIDE033029),5/4/2015,7/31/2015,"SHARE FOR LIFE FOUNDATION, INC.","$4,800.00",$0.00,SMALL PURCHASE,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,ST NICHOLAS-0211,Expired
1515241,Soundview RA - Drug Free Coalition Technical Assistance Grant & Workshop (RESIDE033046) TP 15201,5/4/2015,6/30/2015,"RIVERA, SIERRA & COMPANY, INC.","$4,900.00","$4,900.00",SMALL PURCHASE,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,SOUNDVIEW CC -C537,Expired
1509569,SMD-FURNISHING 14.6 CU.FT. REFRIGERATORS.,5/4/2015,5/3/2016,P.C. RICHARD & SON LONG ISLAND CORPORATION,"$901,000.00","$892,520.00",SEALED BID,Materials,APPLIANCES.REFRIGERATOR - ELECTRIC,VARIOUS PROPERTIES OR DEPARTMENTS,Expired
1501452,SMD-FURNISHING CLADDAGH ELECTRONICS LTD.,5/4/2015,5/3/2018,CLADDAGH ELECTRONICS LTD,"$495,172.00","$495,168.00",SEALED BID,Materials,ELEVATOR PARTS.CLADDAGH,VARIOUS PROPERTIES OR DEPARTMENTS,Expired
1515903,Morris RA - Provide Assistance With Processing their IRS 501c3 Tax Exempt Application (RESIDE033222),5/1/2015,9/30/2015,CLERGY RESOURCES,"$1,505.00","$1,505.00",SMALL PURCHASE,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,MORRIS CC -C239,Expired
1515905,Dept. of Resident Engagement- Management Consultant Service For Bronx North Association of Resident Councils (Resident Engagement_RESIDE033231) TP 15225,5/1/2015,4/30/2016,"RIVERA, SIERRA & COMPANY, INC.","$48,000.00","$48,000.00",SMALL PURCHASE,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,DEPT OF RESIDENT ENGAGEMENT,Expired
1515940,IT- Long distance services IT_(ITENTE033229) DOITT MSA,5/1/2015,2/1/2016,AT&T,"$28,000.00","$28,000.00",GOVERMENT LIST,Service,CP-COMPUTER.1CM,IT INFRASTRUCTURE,Expired
1515948,IT- Alternate Telephone services ( IT_ITENTE033243) DOITT MSA,5/1/2015,12/31/2015,AT&T,"$28,000.00","$25,332.27",GOVERMENT LIST,Service,CP-COMPUTER.1CM,IT INFRASTRUCTURE,Expired
1515611,IT-Teleconferencing Services DOITT MSA (IT_ITENTE033176),5/1/2015,2/1/2016,AT&T,"$18,211.91","$18,211.91",GOVERMENT LIST,Service,CP-COMPUTER.1CM,IT INFRASTRUCTURE,Expired
1512716,"Var. Locations- Ongoing Services for Cable, Internet & Phone Monthly Charges (Resident Engagement_RESIDE032910)",5/1/2015,12/31/2016,TIME WARNER CABLE ENTERPRISES LLC SPECTRUM BUSINESS,"$143,196.00","$142,878.23",SMALL PURCHASE,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,VARIOUS PROPERTIES OR DEPARTMENTS,Expired
1513198,"Var. Locations- Ongoing Services for Cable, Internet & Phone Monthly Charges (Resident Engagement_RESIDE032930)",5/1/2015,12/31/2016,"VERIZON - NEW YORK, INC.","$20,949.24","$16,709.20",SMALL PURCHASE,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,VARIOUS PROPERTIES OR DEPARTMENTS,Expired
1512559,Borinquen Plaza 1 & II Houses - Installation of Vinyl Composition Floor Tile in Apartments - (TECHNI025861 - N. Bose),5/1/2015,5/19/2016,MAHI PAINTING INC.,"$72,796.80","$42,351.70",SEALED BID,Service,TL-TILE.1CM,VARIOUS PROJECT-VARP,Expired
1513196,"Var. Locations- Ongoing Services for Cable, Internet & Phone Monthly Charges (Resident Engagement_RESIDE032929)",5/1/2015,12/31/2016,CABLEVISION,"$132,049.88","$129,429.10",SMALL PURCHASE,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,VARIOUS PROPERTIES OR DEPARTMENTS,Expired
1431436,Various Developments - Architectural & Engineering Services - (CAPITA029135 - M. Kalantri),4/30/2015,7/15/2023,LAWLESS & MANGIONE ARCHITECTS,"$1,686,906.25","$1,686,906.25",COMPETETIVE RFP,Decar,AE-ARCHITECT AND ENGINEER.1CM,CPD-ADMINISTRATION,Expired
1512309,Various Brooklyn West Developments Installation of Vinyl Floor Tile in Apartments - (TECHNI026507 - N. Bose),4/30/2015,5/19/2016,MAHI PAINTING INC.,"$137,000.00","$69,260.90",SEALED BID,Service,TL-TILE.1CM,VARIOUS PROJECT-VARP,Expired
1331681,Asbestos Abatement & Cleaning/Restoration of Crawl Spaces Citywide,4/29/2015,4/7/2023,AIR TECH LAB INC.,"$20,206,934.64","$14,247,214.42",SEALED BID,Decar,AS-ASBESTOS ABATEMENT.1CM,VARIOUS PROPERTIES OR DEPARTMENTS,Expired
1420052,RETAINING WALL RESTORATION,4/29/2015,9/2/2016,LIAQUAT A. GHUMMAN D/B/A GHUMMAN CONSTRUCTION COMPANY,"$381,261.76","$381,261.76",SEALED BID,Decar,ST-STRUCTURAL.1CM,STRAUS-0263,Expired
1512717,"St. Nicholas RA- 5 Week, 12 Session's Worshops for Senior Visionary 1 (Resident Engagement_RESIDE032830/RESIDE034180) TP 15167",4/29/2015,9/26/2015,"SHARE FOR LIFE FOUNDATION, INC.","$4,800.00","$3,840.00",SMALL PURCHASE,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,ST NICHOLAS-0211,Expired
1512287,"Monroe Houses, Bronx - Installation Of Vinyl Floor Tile in Apartments - (TECHNI026504 - N. Bose)",4/29/2015,2/17/2017,MAHI PAINTING INC.,"$109,500.00","$93,177.70",SEALED BID,Service,TL-TILE.1CM,JAMES MONROE-0234,Expired
1512300,"Clinton Houses, Manhattan - Maintenance Painting of Apartments - (TECHNI031626 - N. Bose)",4/29/2015,4/7/2017,DIMO CONSTRUCTION CORP.,"$374,993.27","$236,072.09",SEALED BID,Service,PD-PAINTING.1CM,DEWITT CLINTON-0245,Expired
1512306,"Douglass, Douglass Addition & 830 Amsterdam Houses, Manhattan - Installation of Vinyl Floor Tile in Apartments - (TECHNI026455 - N. Bose)",4/29/2015,6/22/2017,A.S.P.HOUSING ENTERPRISE INC.,"$411,000.00","$124,569.60",SEALED BID,Service,TL-TILE.1CM,FRED DOUGLASS-0569,Expired
1512310,Various Brooklyn Developments - Tree Pruning For Clearance of CCTV Camera Locations - (TECHNI028155 - N. Scheff),4/29/2015,5/12/2017,TREES 'R' US INC.,"$205,579.99","$200,594.48",SEALED BID,Service,GD-GROUNDS AND GROUNDS MAINTENANCE.BX,VARIOUS PROJECT-VARP,Expired
1512311,Various Manhattan Developments - Tree Pruning For Clearance of CCTV Camera Locations - (TECHNI028437 - N. Scheff),4/29/2015,5/12/2017,TREES 'R' US INC.,"$205,579.99","$193,074.78",SEALED BID,Service,GD-GROUNDS AND GROUNDS MAINTENANCE.MA,VARIOUS PROJECT-VARP,Expired
1435557,LOCAL LAW 11 - SIDEWALK SHED CITYWIDE,4/27/2015,7/30/2020,"S & N BUILDERS, INC.","$41,839,903.35","$23,544,449.90",COMPETETIVE RFP,Decar,BW-BRICK WORKS.1CM,CITYWIDE DEVELOPMENTS,Expired
1512721,"Parkside SC - Workshop a ""Drug Free"" Grant (SELECT032832)",4/27/2015,7/31/2015,"RIVERA, SIERRA & COMPANY, INC.","$4,500.00","$4,500.00",SMALL PURCHASE,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,PARKSIDE HOUSES - 0580,Expired
1511440,SMD-FURNISHING VARIOUS TYPES OF GAS RANGES,4/27/2015,4/26/2016,P.C. RICHARD & SON LONG ISLAND CORPORATION,"$999,100.00","$853,506.00",SEALED BID,Materials,APPLIANCES.RANGE - GAS,VARIOUS PROPERTIES OR DEPARTMENTS,Expired
1502005,Red Hook E&W A&E Serv in Connection Sandy Resiliency&Renewal Program,4/27/2015,9/1/2024,KOHN PEDERSEN FOX ASSOCIATES,"$27,744,525.63","$25,108,983.13",COMPETETIVE RFP,Service,AE-ARCHITECT AND ENGINEER.1CM,CPD-ADMINISTRATION,Active
1511999,Various Developments City Wide - Direct Mailing - (TECHNI031536 - C. Fritsch),4/27/2015,6/16/2017,"VANGUARD DIRECT, INC.","$195,200.00","$171,606.18",SEALED BID,Service,FR-FIRE ALARM INSTALL/INSPECT/REPAIR.1CM,VARIOUS PROJECT-VARP,Expired
1512000,"Marcy Houses, Brooklyn - Maintenance Painting of Apartments - (TECHN030145 - N. Bose)",4/27/2015,6/14/2018,DIMO CONSTRUCTION CORP.,"$1,010,911.34","$504,492.05",SEALED BID,Service,PD-PAINTING.1CM,MARCY-0514,Expired
1512002,SheepsheadNostrandHousesBrooklynInstallationofFloorTileinApartments,4/27/2015,6/14/2017,PALLAN CONSTRUCTION INC.,"$218,794.98","$132,343.72",SEALED BID,Service,TL-TILE.1CM,SHEEPSHEAD BAY-0314,Expired
1512004,"Edenwald Houses, Bronx - Installation of Vinyl Floor in Apartments - (TECHNI031038 - N. Bose)",4/27/2015,4/28/2016,MAHI PAINTING INC.,"$98,058.70","$66,053.61",SEALED BID,Service,TL-TILE.1CM,EDENWALD-0214,Expired
1512006,"Grant Houses, Manhattan - Installation of Vinyl Floor Tile in Apartments - (TECHNI030120 - N. Bose)",4/27/2015,2/23/2018,JASLEEN CONSTRUCTION CORP,"$95,506.00","$83,225.96",SEALED BID,Service,TL-TILE.1CM,GENERAL GRANT-0232,Expired
1511575,"Queensbridge South Houses, Queens - Maintenance Painting of Apartments - (TECHNI026305 - N. Bose)",4/23/2015,11/21/2016,JASLEEN CONSTRUCTION CORP,"$229,500.00","$151,138.40",SEALED BID,Service,PD-PAINTING.1CM,QUEENSBRIDGE SOUTH FSD,Expired
1511579,"Marcy Houses, Brooklyn - Installation of Vinyl Floor Tile in Apartments - (TECHNI030371 - N. Bose)",4/23/2015,12/16/2016,MOONLITE PAINTING CO. INC.,"$187,143.30","$159,079.90",SEALED BID,Service,TL-TILE.1CM,MARCY-0514,Expired
1511608,Various Bronx Developments - Sewer Rodding - (TECHNI032005 - J. Schmidt),4/23/2015,4/28/2016,"AUNORAG CONSTRUCTION, INC.","$87,000.00","$85,801.11",SEALED BID,Service,PL-PLUMBING.1CM,VARIOUS PROJECT-VARP,Expired
1511445,"Marcy Houses, Brooklyn - Maintenance Painting of Apartments - (TECHNI026340 - N. Scheff)",4/22/2015,11/30/2015,MOONLITE PAINTING CO. INC.,"$88,000.00","$56,092.34",SEALED BID,Service,PD-PAINTING.1CM,MARCY-0514,Expired
1511446,"Wald Houses, Manhattan - Maintenance Painting of Apartments - (TECHNI026338 - N. Bose)",4/22/2015,4/1/2017,ADEL-FIA CONTRACTING CORP.,"$132,000.00","$69,971.00",SEALED BID,Service,PD-PAINTING.1CM,LILLIAN WALD-0511,Expired
1512713,Sheepshead CC- OSHA 10 Training (Resident Engagement_RESIDE032854) TP 15203,4/22/2015,7/31/2015,BRENSHIRER CONSULTANTS AND CONTRACTORS,"$4,800.00","$4,800.00",SMALL PURCHASE,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,SHEEPSHEAD CC -C314,Expired
1511328,Various Developments in All Five (5) Boroughs - Lead Based Paint (XRF) Inspection Services - (TECHNI030096 - B. Bermudez),4/21/2015,5/4/2018,AIRTEK ENVIRONMENTAL LLC,"$257,646.00","$245,859.66",SEALED BID,Service,EN-ENVIRONMENTAL.1CM,CITYWIDE DEVELOPMENTS,Expired
1512762,Bronx River RA - Strategic Planning Board Training (SELECT032793),4/21/2015,7/31/2015,"RIVERA, SIERRA & COMPANY, INC.","$4,900.00","$4,900.00",SMALL PURCHASE,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,BRONX RIVER-0533,Expired
1513199,St. Nicholas CC - Youth Film Media Program (RESIDE032834),4/21/2015,7/9/2015,"SHARE FOR LIFE FOUNDATION, INC.","$4,800.00",$0.00,SMALL PURCHASE,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,ST.NICHOLAS CC -C211,Expired
1512723,Parkside SC - Workshop on Domestic Violence (RESIDE032845),4/21/2015,7/31/2015,"RIVERA, SIERRA & COMPANY, INC.","$4,900.00","$4,900.00",SMALL PURCHASE,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,PARKSIDE HOUSES - 0580,Expired
1510742,SMD-FURNISHING ELECTRICAL WIRES.,4/20/2015,4/19/2018,REDLYN ELECTRIC CORP. DBA LOUIS SHIFFMAN ELECTRIC,"$12,412.50","$7,189.50",SEALED BID,Materials,ELECTRICAL.CABLE WIRE ACCESS,VARIOUS PROPERTIES OR DEPARTMENTS,Expired
1511212,"Glenwood Houses, Brooklyn - Maintenance Painting of Apartments - (TECHNI032063 - N. Bose)",4/20/2015,7/12/2017,"SATGUR CONSTRUCTION, INC.","$183,001.62","$176,673.89",SEALED BID,Service,PD-PAINTING.1CM,GLENWOOD-0584,Expired
1511216,"Fulton Houses, Mixed Finance - Installation of Vinyl Floor Tile in Apartments - (TECHNI030118 - N. Bose)",4/20/2015,9/17/2017,JASLEEN CONSTRUCTION CORP,"$83,931.00","$64,953.00",SEALED BID,Service,TL-TILE.1CM,ROBERT FULTON-0252,Expired
1514235,Boulevard RA - Resident Health & Awareness Event (RESIDE032958),4/20/2015,7/30/2015,"SHARE FOR LIFE FOUNDATION, INC.","$4,995.00","$4,995.00",SMALL PURCHASE,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,BOULEVARD-0637,Expired
1511221,SMD-FURNISHING GAS RANGE PARTS.,4/20/2015,4/19/2018,BRI-LO MANUFACTURING CO DBA LOBRIGHT MANUFACTURING CO,"$332,073.50","$250,592.27",SEALED BID,Materials,APPLIANCES.RANGE - GAS PARTS AND ELECTRIC PARTS,VARIOUS PROPERTIES OR DEPARTMENTS,Expired
1514421,Kingsborough RA - Workshops for Resident Health & Awareness Event (RESIDE032957),4/20/2015,7/30/2015,"SHARE FOR LIFE FOUNDATION, INC.","$4,995.00","$4,995.00",SMALL PURCHASE,Service,PS-PROFESSIONAL SERVICES OTHER.1CM,KINGSBOROUGH-0205,Expired
1433827,Prepartion of Petroleum Remediation Quarterly Status Report for 26 (NYCHA) Developments located in All Five (5) Boroughs - (TECHNI026592 - Y. Tkach),4/19/2015,4/18/2017,PARDUS ENVIRONMENTAL CONSULTING LTD,"$572,473.86","$570,779.97",SEALED BID,Service,EN-ENVIRONMENTAL.1CM,VARIOUS PROJECT-VARP,Expired
1511049,"Highbridge Gardens Houses, Bronx - Maintenance Painting of Apartments - (TECHNI030774 - N. Bose)",4/17/2015,4/1/2017,"VIRINDER, INC.","$319,341.00","$228,895.00",SEALED BID,Service,PD-PAINTING.1CM,HIGHBRIDGE GRDS-0229,Expired
1511053,"O'Dwyer Gardens, Coney Island I (Site 8) & Gravesend Houses, Brooklyn - Maintenance Painting of Apartments - (TECHNI030218 - N. Bose)",4/17/2015,2/16/2018,ADEL-FIA CONTRACTING CORP.,"$961,149.31","$393,431.92",SEALED BID,Service,PD-PAINTING.1CM,O'DWYER GARDENS-0582,Expired
1511059,"Armstrong I & Armstrong II Houses, Brooklyn - Maintenance Painting of Apartments - (TECHNI030222 - N. Bose)",4/17/2015,2/10/2018,ADEL-FIA CONTRACTING CORP.,"$432,267.00","$259,537.01",SEALED BID,Service,PD-PAINTING.1CM,LOUIS ARMSTRONG-0325,Expired
1510870,"Red Hook West Houses, Brooklyn - Installation of Vinyl Floor in Apartments - (TECHNI026085 - N. Bose)",4/16/2015,1/7/2016,United Resources Management Inc.,"$86,753.50",$0.00,SEALED BID,Service,TL-TILE.1CM,RED HOOK WEST-0230,Expired
1435558,LOCAL LAW 11 - SIDEWALK SHED CITYWIDE,4/15/2015,12/27/2018,"ROMA SCAFFOLDING, INC.","$54,262,547.63","$54,262,547.63",COMPETETIVE RFP,Decar,BW-BRICK WORKS.1CM,CITYWIDE DEVELOPMENTS,Expired
1505459,"Carleton Manor, Hammel & Redfern Houses, Queens - Construction Management as Agent Services For the Sandy Recovery Program (JJ Suarez Jr,)",4/15/2015,10/1/2024,"D & B ENGINEERS AND ARCHITECTS, PC DBA/DVIRKA &","$27,419,585.46","$27,414,314.44",SEALED BID,Decar,CC-CONSULTANTS.1CM,CPD-ADMINISTRATION,Active
1510515,"Pennsylvania Avenue-Wortman Ave. & Vandalia Ave., Brooklyn - Maintenance Painting of Apartments - (TECHNI030776 - N. Bose)",4/14/2015,12/20/2017,"VIRINDER, INC.","$380,909.00","$165,528.00",SEALED BID,Service,PD-PAINTING.1CM,PENN/WORTMAN -0305,Expired
1510517,"Grant Houses, Manhattan - Maintenance Painting of Apartments - (TECHNI026285 - N. Bose)",4/14/2015,11/24/2017,RAZ INTERIORS LTD,"$1,758,955.44","$431,765.04",SEALED BID,Service,PD-PAINTING.1CM,GENERAL GRANT-0232,Expired
